Iteration,h_value,Error,Convergence_Rate
1,5000.5,4800.3,0.479252
2,2500.75,2300.55,0.456707
3,1250.88,1050.68,0.405206
4,625.938,425.741,0.266058
5,313.469,113.272,0.379287
6,157.234,42.9625,0.818264
7,235.352,35.1547,0.111049
8,196.293,3.90391,4.0025
9,215.822,15.6254,0.375078
10,206.058,5.86074,0.166944
11,201.175,0.978415,1.49502
12,198.734,1.46275,0.165556
13,199.955,0.242166,1.52013
14,200.565,0.368124,0.171081
15,200.26,0.062979,1.42259
16,200.107,0.0895936,0.148529
17,200.184,0.0133073,1.86634
18,200.222,0.0248359,0.232096
19,200.203,0.00576431,0.654281
20,200.193,0.00377148,0.264198
21,200.198,0.000996416,1.39252
22,200.195,0.00138753,0.14094
23,200.197,0.000195558,2.04762
24,200.197,0.000400429,0.255814
25,200.197,0.000102435,0.454545
26,200.197,4.65615e-05,0.6
27,200.197,2.79369e-05,0.333333
28,200.197,9.31229e-06,1
29,200.197,9.31229e-06,0
