Iteration,h_value,Error,Convergence_Rate
0,-15000,15200.2,6.52115e-05
1,-14866.7,15066.9,6.57782e-05
2,-14732.1,14932.3,6.63599e-05
3,-14596.4,14796.6,6.69574e-05
4,-14459.4,14659.6,6.75713e-05
5,-14321,14521.2,6.82024e-05
6,-14181.4,14381.6,6.88515e-05
7,-14040.4,14240.6,6.95196e-05
8,-13897.9,14098.1,7.02075e-05
9,-13754,13954.2,7.09162e-05
10,-13608.6,13808.8,7.16469e-05
11,-13461.6,13661.8,7.24007e-05
12,-13313.1,13513.3,7.31788e-05
13,-13162.8,13363,7.39825e-05
14,-13010.9,13211.1,7.48133e-05
15,-12857.2,13057.4,7.56728e-05
16,-12701.6,12901.8,7.65626e-05
17,-12544.1,12744.3,7.74845e-05
18,-12384.7,12584.9,7.84406e-05
19,-12223.2,12423.4,7.9433e-05
20,-12059.6,12259.8,8.0464e-05
21,-11893.8,12094,8.15363e-05
22,-11725.6,11925.8,8.26525e-05
23,-11555,11755.2,8.38159e-05
24,-11382,11582.1,8.50299e-05
25,-11206.2,11406.4,8.62981e-05
26,-11027.8,11228,8.76248e-05
27,-10846.4,11046.6,8.90145e-05
28,-10662,10862.2,9.04725e-05
29,-10474.4,10674.6,9.20044e-05
30,-10283.5,10483.7,9.36168e-05
31,-10089,10289.2,9.53168e-05
32,-9890.76,10091,9.71128e-05
33,-9688.55,9888.75,9.9014e-05
34,-9482.12,9682.32,0.000101031
35,-9271.2,9471.4,0.000103176
36,-9055.48,9255.68,0.000105464
37,-8834.62,9034.82,0.00010791
38,-8608.24,8808.43,0.000110533
39,-8375.9,8576.1,0.000113357
40,-8137.12,8337.32,0.000116407
41,-7891.33,8091.53,0.000119715
42,-7637.89,7838.09,0.00012332
43,-7376.04,7576.24,0.000127268
44,-7104.89,7305.09,0.000131616
45,-6823.4,7023.59,0.000136436
46,-6530.29,6730.48,0.000141817
47,-6224.03,6424.22,0.000147875
48,-5902.7,6102.9,0.00015476
49,-5563.9,5764.1,0.000162671
50,-5204.53,5404.73,0.000171876
51,-4820.49,5020.69,0.000182744
52,-4406.3,4606.5,0.000195791
53,-3954.45,4154.64,0.000211741
54,-3454.68,3654.87,0.000231608
55,-2893.65,3093.85,0.000256718
56,-2257.08,2457.28,0.000288459
57,-1541.58,1741.78,0.000327099
58,-792.156,992.353,0.000368854
59,-163.038,363.234,0.000403204
60,146.998,53.1985,0.000419541
61,199.01,1.18733,0.000424172
62,200.196,0.000597979,0.00437979
63,200.197,1.56612e-09,0
