x direct transform exact
0.99518473 -7.48217432 -7.47016089 -7.73420897
0.98078528 -6.77016380 -6.75929358 -6.98405358
0.95694034 -5.71896667 -5.70978426 -5.87873675
0.92387953 -4.49533577 -4.48811803 -4.59618402
0.88192126 -3.27184159 -3.26658830 -3.31969884
0.83146961 -2.18960929 -2.18609364 -2.19793406
0.77301045 -1.33431686 -1.33217447 -1.31943365
0.70710678 -0.73048493 -0.72931205 -0.70710678
0.63439328 -0.35254623 -0.35198018 -0.33082630
0.55557023 -0.14599031 -0.14575591 -0.13069614
0.47139674 -0.04983841 -0.04975839 -0.04138052
0.38268343 -0.01318472 -0.01316355 -0.00961541
0.29028468 -0.00244070 -0.00243678 -0.00138950
0.19509032 -0.00026219 -0.00026177 -0.00008605
0.09801714 -0.00001076 -0.00001074 -0.00000070
0.00000000 -0.00000000 -0.00000000 -0.00000000
-0.09801714 0.00001076 0.00001074 0.00000070
-0.19509032 0.00026219 0.00026177 0.00008605
-0.29028468 0.00244070 0.00243678 0.00138950
-0.38268343 0.01318472 0.01316355 0.00961541
-0.47139674 0.04983841 0.04975839 0.04138052
-0.55557023 0.14599031 0.14575591 0.13069614
-0.63439328 0.35254623 0.35198018 0.33082630
-0.70710678 0.73048493 0.72931205 0.70710678
-0.77301045 1.33431686 1.33217447 1.31943365
-0.83146961 2.18960929 2.18609364 2.19793406
-0.88192126 3.27184159 3.26658830 3.31969884
-0.92387953 4.49533577 4.48811803 4.59618402
-0.95694034 5.71896667 5.70978426 5.87873675
-0.98078528 6.77016380 6.75929358 6.98405358
-0.99518473 7.48217432 7.47016089 7.73420897
