t numerical exact
0 10 10
0.00625 9.43125 9.44849
0.0125 8.8977 8.93005
0.01875 8.39714 8.44269
0.025 7.92753 7.98452
0.03125 7.48692 7.55377
0.0375 7.0735 7.1488
0.04375 6.68559 6.76803
0.05 6.32158 6.41001
0.05625 5.97999 6.07335
0.0625 5.65941 5.75677
0.06875 5.35854 5.45904
0.075 5.07615 5.17904
0.08125 4.81107 4.91569
0.0875 4.56224 4.66798
0.09375 4.32864 4.43496
0.1 4.10931 4.21575
0.10625 3.90338 4.00952
0.1125 3.71 3.81547
0.11875 3.52839 3.63287
0.125 3.35782 3.46104
0.13125 3.19759 3.29932
0.1375 3.04707 3.14709
0.14375 2.90566 3.00379
0.15 2.77277 2.86888
0.15625 2.64789 2.74185
0.1625 2.53051 2.62222
0.16875 2.42016 2.50955
0.175 2.31642 2.40342
0.18125 2.21886 2.30344
0.1875 2.12711 2.20922
0.19375 2.0408 2.12044
0.2 1.95959 2.03675
0.20625 1.88317 1.95785
0.2125 1.81124 1.88346
0.21875 1.74352 1.81329
0.225 1.67975 1.74711
0.23125 1.61968 1.68466
0.2375 1.56308 1.62573
0.24375 1.50975 1.57009
0.25 1.45947 1.51757
0.25625 1.41206 1.46795
0.2625 1.36734 1.42108
0.26875 1.32515 1.37679
0.275 1.28532 1.33492
0.28125 1.24771 1.29533
0.2875 1.21219 1.25788
0.29375 1.17862 1.22245
0.3 1.14689 1.1889
0.30625 1.11688 1.15714
0.3125 1.08849 1.12705
0.31875 1.06161 1.09853
0.325 1.03616 1.0715
0.33125 1.01204 1.04585
0.3375 0.989177 1.02152
0.34375 0.967491 0.998411
0.35 0.94691 0.976465
0.35625 0.927367 0.955608
0.3625 0.908798 0.935776
0.36875 0.891144 0.916909
0.375 0.87435 0.898949
0.38125 0.858363 0.881843
0.3875 0.843135 0.865541
0.39375 0.828619 0.849995
0.4 0.814772 0.835161
0.40625 0.801554 0.820997
0.4125 0.788928 0.807465
0.41875 0.776857 0.794526
0.425 0.765308 0.782148
0.43125 0.754251 0.770297
0.4375 0.743656 0.758942
0.44375 0.733495 0.748055
0.45 0.723743 0.737609
0.45625 0.714376 0.727579
0.4625 0.70537 0.71794
0.46875 0.696706 0.708671
0.475 0.688362 0.69975
0.48125 0.68032 0.691158
0.4875 0.672563 0.682876
0.49375 0.665075 0.674886
0.5 0.657839 0.667172
0.50625 0.650841 0.659719
0.5125 0.644068 0.652512
0.51875 0.637508 0.645538
0.525 0.631147 0.638783
0.53125 0.624975 0.632236
0.5375 0.618982 0.625885
0.54375 0.613157 0.61972
0.55 0.607492 0.613731
0.55625 0.601977 0.607908
0.5625 0.596605 0.602242
0.56875 0.591367 0.596725
0.575 0.586257 0.59135
0.58125 0.581268 0.586108
0.5875 0.576394 0.580994
0.59375 0.571628 0.576
0.6 0.566966 0.57112
0.60625 0.562401 0.566349
0.6125 0.557929 0.561682
0.61875 0.553546 0.557112
0.625 0.549247 0.552636
0.63125 0.545027 0.548248
0.6375 0.540884 0.543945
0.64375 0.536813 0.539722
0.65 0.532811 0.535577
0.65625 0.528876 0.531504
0.6625 0.525003 0.527502
0.66875 0.521191 0.523566
0.675 0.517436 0.519694
0.68125 0.513736 0.515884
0.6875 0.510089 0.512131
0.69375 0.506493 0.508435
0.7 0.502945 0.504792
0.70625 0.499444 0.501201
0.7125 0.495988 0.497659
0.71875 0.492574 0.494165
0.725 0.489203 0.490716
0.73125 0.485871 0.487311
0.7375 0.482577 0.483949
0.74375 0.479321 0.480627
0.75 0.476101 0.477344
0.75625 0.472915 0.4741
0.7625 0.469763 0.470892
0.76875 0.466643 0.467719
0.775 0.463555 0.46458
0.78125 0.460498 0.461475
0.7875 0.45747 0.458402
0.79375 0.45447 0.45536
0.8 0.451499 0.452348
