t numerical exact
0 10 10
0.00625 9.46438 9.44849
0.0125 8.95993 8.93005
0.01875 8.48483 8.44269
0.025 8.03736 7.98452
0.03125 7.61589 7.55377
0.0375 7.21889 7.1488
0.04375 6.84492 6.76803
0.05 6.49264 6.41001
0.05625 6.16076 6.07335
0.0625 5.8481 5.75677
0.06875 5.55352 5.45904
0.075 5.27596 5.17904
0.08125 5.01441 4.91569
0.0875 4.76796 4.66798
0.09375 4.53569 4.43496
0.1 4.31679 4.21575
0.10625 4.11046 4.00952
0.1125 3.91598 3.81547
0.11875 3.73264 3.63287
0.125 3.5598 3.46104
0.13125 3.39682 3.29932
0.1375 3.24315 3.14709
0.14375 3.09823 3.00379
0.15 2.96155 2.86888
0.15625 2.83262 2.74185
0.1625 2.711 2.62222
0.16875 2.59625 2.50955
0.175 2.48797 2.40342
0.18125 2.38578 2.30344
0.1875 2.28933 2.20922
0.19375 2.19828 2.12044
0.2 2.11232 2.03675
0.20625 2.03114 1.95785
0.2125 1.95446 1.88346
0.21875 1.88204 1.81329
0.225 1.8136 1.74711
0.23125 1.74893 1.68466
0.2375 1.6878 1.62573
0.24375 1.63001 1.57009
0.25 1.57536 1.51757
0.25625 1.52366 1.46795
0.2625 1.47475 1.42108
0.26875 1.42847 1.37679
0.275 1.38465 1.33492
0.28125 1.34316 1.29533
0.2875 1.30387 1.25788
0.29375 1.26664 1.22245
0.3 1.23135 1.1889
0.30625 1.19789 1.15714
0.3125 1.16616 1.12705
0.31875 1.13605 1.09853
0.325 1.10748 1.0715
0.33125 1.08035 1.04585
0.3375 1.05457 1.02152
0.34375 1.03008 0.998411
0.35 1.00679 0.976465
0.35625 0.984645 0.955608
0.3625 0.963568 0.935776
0.36875 0.943501 0.916909
0.375 0.924387 0.898949
0.38125 0.906171 0.881843
0.3875 0.8888 0.865541
0.39375 0.872228 0.849995
0.4 0.856408 0.835161
0.40625 0.841298 0.820997
0.4125 0.826856 0.807465
0.41875 0.813046 0.794526
0.425 0.799831 0.782148
0.43125 0.787178 0.770297
0.4375 0.775055 0.758942
0.44375 0.763432 0.748055
0.45 0.752281 0.737609
0.45625 0.741575 0.727579
0.4625 0.731291 0.71794
0.46875 0.721403 0.708671
0.475 0.711891 0.69975
0.48125 0.702733 0.691158
0.4875 0.693911 0.682876
0.49375 0.685404 0.674886
0.5 0.677197 0.667172
0.50625 0.669272 0.659719
0.5125 0.661614 0.652512
0.51875 0.65421 0.645538
0.525 0.647045 0.638783
0.53125 0.640106 0.632236
0.5375 0.633381 0.625885
0.54375 0.626859 0.61972
0.55 0.62053 0.613731
0.55625 0.614382 0.607908
0.5625 0.608407 0.602242
0.56875 0.602595 0.596725
0.575 0.596939 0.59135
0.58125 0.591429 0.586108
0.5875 0.58606 0.580994
0.59375 0.580822 0.576
0.6 0.575711 0.57112
0.60625 0.570719 0.566349
0.6125 0.565841 0.561682
0.61875 0.561072 0.557112
0.625 0.556405 0.552636
0.63125 0.551836 0.548248
0.6375 0.54736 0.543945
0.64375 0.542974 0.539722
0.65 0.538672 0.535577
0.65625 0.534451 0.531504
0.6625 0.530307 0.527502
0.66875 0.526237 0.523566
0.675 0.522237 0.519694
0.68125 0.518305 0.515884
0.6875 0.514436 0.512131
0.69375 0.51063 0.508435
0.7 0.506883 0.504792
0.70625 0.503192 0.501201
0.7125 0.499556 0.497659
0.71875 0.495972 0.494165
0.725 0.492438 0.490716
0.73125 0.488952 0.487311
0.7375 0.485512 0.483949
0.74375 0.482117 0.480627
0.75 0.478765 0.477344
0.75625 0.475454 0.4741
0.7625 0.472183 0.470892
0.76875 0.468951 0.467719
0.775 0.465756 0.46458
0.78125 0.462596 0.461475
0.7875 0.459472 0.458402
0.79375 0.456381 0.45536
0.8 0.453324 0.452348
