t numerical exact
0 10 10
0.00625 9.44849 9.44849
0.0125 8.93005 8.93005
0.01875 8.44269 8.44269
0.025 7.98452 7.98452
0.03125 7.55377 7.55377
0.0375 7.1488 7.1488
0.04375 6.76803 6.76803
0.05 6.41001 6.41001
0.05625 6.07335 6.07335
0.0625 5.75677 5.75677
0.06875 5.45904 5.45904
0.075 5.17904 5.17904
0.08125 4.91569 4.91569
0.0875 4.66798 4.66798
0.09375 4.43496 4.43496
0.1 4.21575 4.21575
0.10625 4.00952 4.00952
0.1125 3.81547 3.81547
0.11875 3.63288 3.63287
0.125 3.46104 3.46104
0.13125 3.29932 3.29932
0.1375 3.14709 3.14709
0.14375 3.00379 3.00379
0.15 2.86888 2.86888
0.15625 2.74185 2.74185
0.1625 2.62222 2.62222
0.16875 2.50955 2.50955
0.175 2.40342 2.40342
0.18125 2.30344 2.30344
0.1875 2.20922 2.20922
0.19375 2.12044 2.12044
0.2 2.03675 2.03675
0.20625 1.95785 1.95785
0.2125 1.88346 1.88346
0.21875 1.81329 1.81329
0.225 1.74711 1.74711
0.23125 1.68466 1.68466
0.2375 1.62573 1.62573
0.24375 1.5701 1.57009
0.25 1.51757 1.51757
0.25625 1.46795 1.46795
0.2625 1.42108 1.42108
0.26875 1.37679 1.37679
0.275 1.33492 1.33492
0.28125 1.29533 1.29533
0.2875 1.25788 1.25788
0.29375 1.22245 1.22245
0.3 1.1889 1.1889
0.30625 1.15714 1.15714
0.3125 1.12705 1.12705
0.31875 1.09853 1.09853
0.325 1.0715 1.0715
0.33125 1.04585 1.04585
0.3375 1.02152 1.02152
0.34375 0.998411 0.998411
0.35 0.976465 0.976465
0.35625 0.955608 0.955608
0.3625 0.935776 0.935776
0.36875 0.916909 0.916909
0.375 0.898949 0.898949
0.38125 0.881843 0.881843
0.3875 0.865541 0.865541
0.39375 0.849995 0.849995
0.4 0.835161 0.835161
0.40625 0.820997 0.820997
0.4125 0.807465 0.807465
0.41875 0.794527 0.794526
0.425 0.782148 0.782148
0.43125 0.770297 0.770297
0.4375 0.758942 0.758942
0.44375 0.748055 0.748055
0.45 0.737609 0.737609
0.45625 0.727579 0.727579
0.4625 0.71794 0.71794
0.46875 0.708671 0.708671
0.475 0.69975 0.69975
0.48125 0.691158 0.691158
0.4875 0.682876 0.682876
0.49375 0.674886 0.674886
0.5 0.667172 0.667172
0.50625 0.659719 0.659719
0.5125 0.652512 0.652512
0.51875 0.645538 0.645538
0.525 0.638783 0.638783
0.53125 0.632236 0.632236
0.5375 0.625885 0.625885
0.54375 0.61972 0.61972
0.55 0.613731 0.613731
0.55625 0.607908 0.607908
0.5625 0.602242 0.602242
0.56875 0.596725 0.596725
0.575 0.59135 0.59135
0.58125 0.586108 0.586108
0.5875 0.580994 0.580994
0.59375 0.576 0.576
0.6 0.57112 0.57112
0.60625 0.566349 0.566349
0.6125 0.561682 0.561682
0.61875 0.557112 0.557112
0.625 0.552636 0.552636
0.63125 0.548248 0.548248
0.6375 0.543945 0.543945
0.64375 0.539722 0.539722
0.65 0.535577 0.535577
0.65625 0.531504 0.531504
0.6625 0.527502 0.527502
0.66875 0.523566 0.523566
0.675 0.519694 0.519694
0.68125 0.515884 0.515884
0.6875 0.512131 0.512131
0.69375 0.508435 0.508435
0.7 0.504792 0.504792
0.70625 0.501201 0.501201
0.7125 0.497659 0.497659
0.71875 0.494165 0.494165
0.725 0.490716 0.490716
0.73125 0.487311 0.487311
0.7375 0.483949 0.483949
0.74375 0.480627 0.480627
0.75 0.477344 0.477344
0.75625 0.4741 0.4741
0.7625 0.470892 0.470892
0.76875 0.467719 0.467719
0.775 0.46458 0.46458
0.78125 0.461475 0.461475
0.7875 0.458402 0.458402
0.79375 0.45536 0.45536
0.8 0.452348 0.452348
