t numerical exact
0 10 10
0.025 7.98452 7.98452
0.05 6.41 6.41001
0.075 5.17904 5.17904
0.1 4.21575 4.21575
0.125 3.46104 3.46104
0.15 2.86888 2.86888
0.175 2.40342 2.40342
0.2 2.03675 2.03675
0.225 1.74711 1.74711
0.25 1.51756 1.51757
0.275 1.33492 1.33492
0.3 1.1889 1.1889
0.325 1.07149 1.0715
0.35 0.976464 0.976465
0.375 0.898948 0.898949
0.4 0.83516 0.835161
0.425 0.782147 0.782148
0.45 0.737609 0.737609
0.475 0.69975 0.69975
0.5 0.667172 0.667172
0.525 0.638783 0.638783
0.55 0.613731 0.613731
0.575 0.59135 0.59135
0.6 0.57112 0.57112
0.625 0.552635 0.552636
0.65 0.535577 0.535577
0.675 0.519694 0.519694
0.7 0.504792 0.504792
0.725 0.490716 0.490716
0.75 0.477344 0.477344
0.775 0.46458 0.46458
0.8 0.452348 0.452348
