t numerical exact
0 10 10
0.025 7.95028 7.98452
0.05 6.3568 6.41001
0.075 5.11703 5.17904
0.1 4.1515 4.21575
0.125 3.39863 3.46104
0.15 2.81069 2.86888
0.175 2.35066 2.40342
0.2 1.98989 2.03675
0.225 1.70614 1.74711
0.25 1.48218 1.51757
0.275 1.30467 1.33492
0.3 1.16324 1.1889
0.325 1.04988 1.0715
0.35 0.958365 0.976465
0.375 0.883866 0.898949
0.4 0.822645 0.835161
0.425 0.7718 0.782148
0.45 0.729081 0.737609
0.475 0.692741 0.69975
0.5 0.661424 0.667172
0.525 0.634078 0.638783
0.55 0.609886 0.613731
0.575 0.588212 0.59135
0.6 0.568562 0.57112
0.625 0.55055 0.552636
0.65 0.533877 0.535577
0.675 0.518309 0.519694
0.7 0.503662 0.504792
0.725 0.489793 0.490716
0.75 0.476589 0.477344
0.775 0.463961 0.46458
0.8 0.451839 0.452348
