iter,t,y2,y1,y_exact
0,0,0,1,1
1,0.1,-1.6,1,0.921061
2,0.2,-3.2,0.68,0.696707
3,0.3,-3.776,0.36,0.362358
4,0.4,-4.352,-0.0752,-0.0291995
5,0.5,-3.53536,-0.5104,-0.416147
6,0.6,-2.71872,-0.782272,-0.737394
7,0.7,-1.03209,-1.05414,-0.942222
8,0.8,0.654541,-0.98869,-0.998295
9,0.9,2.13172,-0.923236,-0.896758
10,1,3.6089,-0.562346,-0.653644
11,1.1,3.93123,-0.201457,-0.307333
12,1.2,4.25356,0.223899,0.087499
13,1.3,3.21475,0.649255,0.468517
14,1.4,2.17594,0.866849,0.775566
15,1.5,0.440833,1.08444,0.96017
16,1.6,-1.29428,0.955016,0.993185
17,1.7,-2.61522,0.825588,0.869397
18,1.8,-3.93616,0.431972,0.608351
19,1.9,-3.99753,0.0383565,0.25126
20,2,-4.0589,-0.367533,-0.1455
21,2.1,-2.82142,-0.773423,-0.519289
22,2.2,-1.58394,-0.931818,-0.811093
23,2.3,0.160395,-1.09021,-0.974844
24,2.4,1.90473,-0.899739,-0.984688
25,2.5,3.03956,-0.709265,-0.839072
26,2.6,4.17438,-0.291827,-0.560984
27,2.7,3.9734,0.125611,-0.19433
28,2.8,3.77243,0.502854,0.203005
29,2.9,2.36427,0.880097,0.56829
30,3,0.956117,0.975708,0.843854
31,3.1,-0.757995,1.07132,0.986192
32,3.2,-2.47211,0.824109,0.972833
33,3.3,-3.39514,0.576899,0.805884
34,3.4,-4.31818,0.14508,0.511704
35,3.5,-3.8594,-0.286738,0.136737
36,3.6,-3.40062,-0.6268,-0.259817
37,3.7,-1.85364,-0.966862,-0.615352
38,3.8,-0.306662,-0.997528,-0.873737
39,3.9,1.33845,-1.02819,-0.994178
40,4,2.98356,-0.729839,-0.957659
41,4.1,3.67393,-0.431483,-0.769948
42,4.2,4.3643,0.00494792,-0.460679
43,4.3,3.6581,0.441378,-0.0786782
44,4.4,2.95189,0.736568,0.315744
45,4.5,1.30108,1.03176,0.660317
46,4.6,-0.349729,0.996784,0.90064
47,4.7,-1.88863,0.961811,0.998772
48,4.8,-3.42753,0.619059,0.93922
49,4.9,-3.86962,0.276306,0.731386
50,5,-4.31171,-0.154864,0.408082
51,5.1,-3.37405,-0.586035,0.0203508
52,5.2,-2.43639,-0.829674,-0.370593
53,5.3,-0.719092,-1.07331,-0.703029
54,5.4,0.998209,-0.973493,-0.924472
55,5.5,2.39608,-0.873672,-0.999961
56,5.6,3.79396,-0.494276,-0.917578
57,5.7,3.97777,-0.11488,-0.69033
58,5.8,4.16157,0.301278,-0.354094
59,5.9,3.01368,0.717435,0.0380459
60,6,1.86578,0.904013,0.424179
61,6.1,0.120836,1.09059,0.743344
62,6.2,-1.62411,0.92818,0.945151
63,6.3,-2.84934,0.765769,0.997739
64,6.4,-4.07457,0.358312,0.892806
65,6.5,-3.99594,-0.0491451,0.646919
66,6.6,-3.91731,-0.440876,0.298898
67,6.7,-2.58514,-0.832607,-0.0963129
68,6.8,-1.25297,-0.957903,-0.476318
69,6.9,0.480153,-1.0832,-0.781123
70,7,2.21327,-0.861873,-0.962606
71,7.1,3.23815,-0.640545,-0.992114
72,7.2,4.26302,-0.214244,-0.86499
73,7.3,3.92373,0.212058,-0.601302
74,7.4,3.58443,0.570502,-0.242683
75,7.5,2.09812,0.928945,0.154251
76,7.6,0.611809,0.990126,0.526833
77,7.7,-1.07028,1.05131,0.816239
78,7.8,-2.75237,0.776069,0.976778
79,7.9,-3.5537,0.500832,0.983106
80,8,-4.35503,0.0653286,0.834223
81,8.1,-3.76275,-0.370175,0.553635
82,8.2,-3.17048,-0.687222,0.18564
83,8.3,-1.56364,-1.00427,-0.211664
84,8.4,0.0431885,-0.999951,-0.57555
85,8.5,1.6362,-0.995632,-0.84857
86,8.6,3.22921,-0.672711,-0.987619
87,8.7,3.78888,-0.34979,-0.970745
88,8.8,4.34854,0.085064,-0.800612
89,8.9,3.51667,0.519918,-0.504079
90,9,2.6848,0.788398,-0.127964
