method,h,t,y1,y2,y3
Explicit Euler,0.001,1,-inf,-nan,inf
Explicit Euler,0.001,2,-inf,-nan,inf
Explicit Euler,0.001,3,-inf,-nan,inf
Explicit Euler,0.001,4,-inf,-nan,inf
Explicit Euler,0.001,5,-inf,-nan,inf
Explicit Euler,0.001,6,-inf,-nan,inf
Explicit Euler,0.001,7,-inf,-nan,inf
Explicit Euler,0.001,8,-inf,-nan,inf
Explicit Euler,0.001,9,-inf,-nan,inf
Explicit Euler,0.001,10,-inf,-nan,inf
Explicit Euler,0.001,11,-inf,-nan,inf
Explicit Euler,0.001,12,-inf,-nan,inf
Explicit Euler,0.001,13,-inf,-nan,inf
Explicit Euler,0.001,14,-inf,-nan,inf
Explicit Euler,0.001,15,-inf,-nan,inf
Explicit Euler,0.001,16,-inf,-nan,inf
Explicit Euler,0.001,17,-inf,-nan,inf
Explicit Euler,0.001,18,-inf,-nan,inf
Explicit Euler,0.001,19,-inf,-nan,inf
Explicit Euler,0.001,20,-inf,-nan,inf
Explicit Euler,0.001,21,-inf,-nan,inf
Explicit Euler,0.001,22,-inf,-nan,inf
Explicit Euler,0.001,23,-inf,-nan,inf
Explicit Euler,0.001,24,-inf,-nan,inf
Explicit Euler,0.001,25,-inf,-nan,inf
Explicit Euler,0.001,26,-inf,-nan,inf
Explicit Euler,0.001,27,-inf,-nan,inf
Explicit Euler,0.001,28,-inf,-nan,inf
Explicit Euler,0.001,29,-inf,-nan,inf
Explicit Euler,0.001,30,-inf,-nan,inf
Explicit Euler,0.001,31,-inf,-nan,inf
Explicit Euler,0.001,32,-inf,-nan,inf
Explicit Euler,0.001,33,-inf,-nan,inf
Explicit Euler,0.001,34,-inf,-nan,inf
Explicit Euler,0.001,35,-inf,-nan,inf
Explicit Euler,0.001,36,-inf,-nan,inf
Explicit Euler,0.001,37,-inf,-nan,inf
Explicit Euler,0.001,38,-inf,-nan,inf
Explicit Euler,0.001,39,-inf,-nan,inf
Explicit Euler,0.001,40,-inf,-nan,inf
Explicit Euler,0.001,41,-inf,-nan,inf
Explicit Euler,0.001,42,-inf,-nan,inf
Explicit Euler,0.001,43,-inf,-nan,inf
Explicit Euler,0.001,44,-inf,-nan,inf
Explicit Euler,0.001,45,-inf,-nan,inf
Explicit Euler,0.001,46,-inf,-nan,inf
Explicit Euler,0.001,47,-inf,-nan,inf
Explicit Euler,0.001,48,-inf,-nan,inf
Explicit Euler,0.001,49,-inf,-nan,inf
Explicit Euler,0.001,50,-inf,-nan,inf
Explicit Euler,0.001,51,-inf,-nan,inf
Explicit Euler,0.001,52,-inf,-nan,inf
Explicit Euler,0.001,53,-inf,-nan,inf
Explicit Euler,0.001,54,-inf,-nan,inf
Explicit Euler,0.001,55,-inf,-nan,inf
Explicit Euler,0.001,56,-inf,-nan,inf
Explicit Euler,0.001,57,-inf,-nan,inf
Explicit Euler,0.001,58,-inf,-nan,inf
Explicit Euler,0.001,59,-inf,-nan,inf
Explicit Euler,0.001,60,-inf,-nan,inf
Explicit Euler,0.001,61,-inf,-nan,inf
Explicit Euler,0.001,62,-inf,-nan,inf
Explicit Euler,0.001,63,-inf,-nan,inf
Explicit Euler,0.001,64,-inf,-nan,inf
Explicit Euler,0.001,65,-inf,-nan,inf
Explicit Euler,0.001,66,-inf,-nan,inf
Explicit Euler,0.001,67,-inf,-nan,inf
Explicit Euler,0.001,68,-inf,-nan,inf
Explicit Euler,0.001,69,-inf,-nan,inf
Explicit Euler,0.001,70,-inf,-nan,inf
Explicit Euler,0.001,71,-inf,-nan,inf
Explicit Euler,0.001,72,-inf,-nan,inf
Explicit Euler,0.001,73,-inf,-nan,inf
Explicit Euler,0.001,74,-inf,-nan,inf
Explicit Euler,0.001,75,-inf,-nan,inf
Explicit Euler,0.001,76,-inf,-nan,inf
Explicit Euler,0.001,77,-inf,-nan,inf
Explicit Euler,0.001,78,-inf,-nan,inf
Explicit Euler,0.001,79,-inf,-nan,inf
Explicit Euler,0.001,80,-inf,-nan,inf
Explicit Euler,0.001,81,-inf,-nan,inf
Explicit Euler,0.001,82,-inf,-nan,inf
Explicit Euler,0.001,83,-inf,-nan,inf
Explicit Euler,0.001,84,-inf,-nan,inf
Explicit Euler,0.001,85,-inf,-nan,inf
Explicit Euler,0.001,86,-inf,-nan,inf
Explicit Euler,0.001,87,-inf,-nan,inf
Explicit Euler,0.001,88,-inf,-nan,inf
Explicit Euler,0.001,89,-inf,-nan,inf
Explicit Euler,0.001,90,-inf,-nan,inf
Explicit Euler,0.001,91,-inf,-nan,inf
Explicit Euler,0.001,92,-inf,-nan,inf
Explicit Euler,0.001,93,-inf,-nan,inf
Explicit Euler,0.001,94,-inf,-nan,inf
Explicit Euler,0.001,95,-inf,-nan,inf
Explicit Euler,0.001,96,-inf,-nan,inf
Explicit Euler,0.001,97,-inf,-nan,inf
Explicit Euler,0.001,98,-inf,-nan,inf
Explicit Euler,0.001,99,-inf,-nan,inf
Explicit Euler,0.001,100,-inf,-nan,inf
Explicit Euler,0.001,101,-inf,-nan,inf
Explicit Euler,0.001,102,-inf,-nan,inf
Explicit Euler,0.001,103,-inf,-nan,inf
Explicit Euler,0.001,104,-inf,-nan,inf
Explicit Euler,0.001,105,-inf,-nan,inf
Explicit Euler,0.001,106,-inf,-nan,inf
Explicit Euler,0.001,107,-inf,-nan,inf
Explicit Euler,0.001,108,-inf,-nan,inf
Explicit Euler,0.001,109,-inf,-nan,inf
Explicit Euler,0.001,110,-inf,-nan,inf
Explicit Euler,0.001,111,-inf,-nan,inf
Explicit Euler,0.001,112,-inf,-nan,inf
Explicit Euler,0.001,113,-inf,-nan,inf
Explicit Euler,0.001,114,-inf,-nan,inf
Explicit Euler,0.001,115,-inf,-nan,inf
Explicit Euler,0.001,116,-inf,-nan,inf
Explicit Euler,0.001,117,-inf,-nan,inf
Explicit Euler,0.001,118,-inf,-nan,inf
Explicit Euler,0.001,119,-inf,-nan,inf
Explicit Euler,0.001,120,-inf,-nan,inf
Explicit Euler,0.001,121,-inf,-nan,inf
Explicit Euler,0.001,122,-inf,-nan,inf
Explicit Euler,0.001,123,-inf,-nan,inf
Explicit Euler,0.001,124,-inf,-nan,inf
Explicit Euler,0.001,125,-inf,-nan,inf
